link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA593014_Acropora-millepora	SRR10571265	sample0	dummy	BioSample: SAMN13447287; Sample name: PA22; SRA: SRS5764274	isolate: I18	PAIRED	2203982	928341
PRJNA593014_Acropora-millepora	SRR10571266	sample1	dummy	BioSample: SAMN13447294; Sample name: PA21; SRA: SRS5764178	isolate: I14	PAIRED	2263928	1152950
PRJNA593014_Acropora-millepora	SRR10571267	sample2	dummy	BioSample: SAMN13447283; Sample name: PA20; SRA: SRS5764273	isolate: I12	PAIRED	3614507	1814064
PRJNA593014_Acropora-millepora	SRR10571268	sample3	dummy	BioSample: SAMN13447285; Sample name: PA19; SRA: SRS5764272	isolate: I11	PAIRED	2793076	1381783
PRJNA593014_Acropora-millepora	SRR10571269	sample4	dummy	BioSample: SAMN13447284; Sample name: PA18; SRA: SRS5764271	isolate: I9	PAIRED	4494270	2290094
PRJNA593014_Acropora-millepora	SRR10571270	sample5	dummy	BioSample: SAMN13447282; Sample name: PA17; SRA: SRS5764270	isolate: I7	PAIRED	4016962	2185778
PRJNA593014_Acropora-millepora	SRR10571271	sample6	dummy	BioSample: SAMN13447288; Sample name: PA16; SRA: SRS5764269	isolate: I6	PAIRED	689382	174592
PRJNA593014_Acropora-millepora	SRR10571272	sample7	dummy	BioSample: SAMN13447286; Sample name: PA15; SRA: SRS5764268	isolate: I1	PAIRED	2920492	1622041
PRJNA593014_Acropora-millepora	SRR10571273	sample8	dummy	BioSample: SAMN13447281; Sample name: PA14; SRA: SRS5764267	isolate: BL225	PAIRED	2995273	1692915
PRJNA593014_Acropora-millepora	SRR10571275	sample9	dummy	BioSample: SAMN13447293; Sample name: PA13; SRA: SRS5764266	isolate: BL224	PAIRED	1993172	911009
PRJNA593014_Acropora-millepora	SRR10571276	sample10	dummy	BioSample: SAMN13447279; Sample name: PA12; SRA: SRS5764265	isolate: BL223	PAIRED	3406822	1719084
PRJNA593014_Acropora-millepora	SRR10571277	sample11	dummy	BioSample: SAMN13447278; Sample name: PA11; SRA: SRS5764264	isolate: BL222	PAIRED	2915818	1439277
PRJNA593014_Acropora-millepora	SRR10571278	sample12	dummy	BioSample: SAMN13447277; Sample name: PA10; SRA: SRS5764263	isolate: BL221	PAIRED	2965901	1469275
PRJNA593014_Acropora-millepora	SRR10571279	sample13	dummy	BioSample: SAMN13447280; Sample name: PA09; SRA: SRS5764262	isolate: BL220	PAIRED	3322192	1717812
PRJNA593014_Acropora-millepora	SRR10571280	sample14	dummy	BioSample: SAMN13447275; Sample name: PA08; SRA: SRS5764261	isolate: BL219	PAIRED	2900581	1391828
PRJNA593014_Acropora-millepora	SRR10571281	sample15	dummy	BioSample: SAMN13447274; Sample name: PA07; SRA: SRS5764177	isolate: BL218	PAIRED	1576488	833204
PRJNA593014_Acropora-millepora	SRR10571282	sample16	dummy	BioSample: SAMN13447273; Sample name: PA06; SRA: SRS5764247	isolate: BL217	PAIRED	197879	110251
PRJNA593014_Acropora-millepora	SRR10571283	sample17	dummy	BioSample: SAMN13447276; Sample name: PA05; SRA: SRS5764260	isolate: BL216	PAIRED	2772396	1339522
PRJNA593014_Acropora-millepora	SRR10571284	sample18	dummy	BioSample: SAMN13447271; Sample name: PA04; SRA: SRS5764259	isolate: BL215	PAIRED	2892033	1390571
PRJNA593014_Acropora-millepora	SRR10571286	sample19	dummy	BioSample: SAMN13447270; Sample name: PA03; SRA: SRS5764258	isolate: BL214	PAIRED	4446275	2317637
PRJNA593014_Acropora-millepora	SRR10571287	sample20	dummy	BioSample: SAMN13447269; Sample name: PA02; SRA: SRS5764257	isolate: BL212	PAIRED	2884523	1252622
PRJNA593014_Acropora-millepora	SRR10571288	sample21	dummy	BioSample: SAMN13447272; Sample name: PA01; SRA: SRS5764176	isolate: BL211	PAIRED	1682838	762383
PRJNA593014_Acropora-millepora	SRR10571289	sample22	dummy	BioSample: SAMN13447255; Sample name: NB17; SRA: SRS5764256	isolate: BL745	PAIRED	2960834	1563066
PRJNA593014_Acropora-millepora	SRR10571290	sample23	dummy	BioSample: SAMN13447267; Sample name: NB16; SRA: SRS5764239	isolate: BL744	PAIRED	1778443	990751
PRJNA593014_Acropora-millepora	SRR10571291	sample24	dummy	BioSample: SAMN13447254; Sample name: NB15; SRA: SRS5764255	isolate: BL732	PAIRED	2186213	1151124
PRJNA593014_Acropora-millepora	SRR10571292	sample25	dummy	BioSample: SAMN13447253; Sample name: NB14; SRA: SRS5764254	isolate: BL731	PAIRED	3772038	2143803
PRJNA593014_Acropora-millepora	SRR10571293	sample26	dummy	BioSample: SAMN13447264; Sample name: NB13; SRA: SRS5764253	isolate: BL730	PAIRED	3988589	2250886
PRJNA593014_Acropora-millepora	SRR10571294	sample27	dummy	BioSample: SAMN13447263; Sample name: NB12; SRA: SRS5764252	isolate: BL729	PAIRED	4003762	2367088
PRJNA593014_Acropora-millepora	SRR10571295	sample28	dummy	BioSample: SAMN13447252; Sample name: NB11; SRA: SRS5764251	isolate: BL728	PAIRED	2676341	1473915
PRJNA593014_Acropora-millepora	SRR10571297	sample29	dummy	BioSample: SAMN13447133; Sample name: DK13; SRA: SRS5764250	isolate: BL433	PAIRED	1681208	842886
PRJNA593014_Acropora-millepora	SRR10571298	sample30	dummy	BioSample: SAMN13447132; Sample name: DK12; SRA: SRS5764249	isolate: BL432	PAIRED	2500323	1226609
PRJNA593014_Acropora-millepora	SRR10571299	sample31	dummy	BioSample: SAMN13447131; Sample name: DK11; SRA: SRS5764248	isolate: BL431	PAIRED	3123708	1637170
PRJNA593014_Acropora-millepora	SRR10571301	sample32	dummy	BioSample: SAMN13447130; Sample name: DK10; SRA: SRS5764246	isolate: BL370	PAIRED	2205166	1029565
PRJNA593014_Acropora-millepora	SRR10571302	sample33	dummy	BioSample: SAMN13447129; Sample name: DK09; SRA: SRS5764245	isolate: BL369	PAIRED	2044478	1045587
PRJNA593014_Acropora-millepora	SRR10571303	sample34	dummy	BioSample: SAMN13447128; Sample name: DK08; SRA: SRS5764244	isolate: BL368	PAIRED	2412938	1252930
PRJNA593014_Acropora-millepora	SRR10571304	sample35	dummy	BioSample: SAMN13447140; Sample name: DK07; SRA: SRS5764243	isolate: BL367	PAIRED	3659543	1919469
PRJNA593014_Acropora-millepora	SRR10571305	sample36	dummy	BioSample: SAMN13447126; Sample name: DK06; SRA: SRS5764221	isolate: BL366	PAIRED	298218	164013
PRJNA593014_Acropora-millepora	SRR10571307	sample37	dummy	BioSample: SAMN13447124; Sample name: DK04; SRA: SRS5764193	isolate: BL364	PAIRED	1095014	559551
PRJNA593014_Acropora-millepora	SRR10571308	sample38	dummy	BioSample: SAMN13447127; Sample name: DK03; SRA: SRS5764242	isolate: BL363	PAIRED	3551774	1871963
PRJNA593014_Acropora-millepora	SRR10571309	sample39	dummy	BioSample: SAMN13447123; Sample name: DK02; SRA: SRS5764241	isolate: BL362	PAIRED	2488636	1293597
PRJNA593014_Acropora-millepora	SRR10571310	sample40	dummy	BioSample: SAMN13447122; Sample name: DK01; SRA: SRS5764240	isolate: BL361	PAIRED	1695703	861127
PRJNA593014_Acropora-millepora	SRR10571312	sample41	dummy	BioSample: SAMN13447108; Sample name: CS18; SRA: SRS5764238	isolate: BL1264	PAIRED	4972859	2336455
PRJNA593014_Acropora-millepora	SRR10571313	sample42	dummy	BioSample: SAMN13447107; Sample name: CS17; SRA: SRS5764237	isolate: BL1260	PAIRED	1992873	1015542
PRJNA593014_Acropora-millepora	SRR10571314	sample43	dummy	BioSample: SAMN13447106; Sample name: CS16; SRA: SRS5764236	isolate: BL1258	PAIRED	2727761	1537539
PRJNA593014_Acropora-millepora	SRR10571315	sample44	dummy	BioSample: SAMN13447105; Sample name: CS15; SRA: SRS5764235	isolate: BL1254	PAIRED	2658507	1462473
PRJNA593014_Acropora-millepora	SRR10571316	sample45	dummy	BioSample: SAMN13447104; Sample name: CS14; SRA: SRS5764234	isolate: BL1252	PAIRED	2325809	1230904
PRJNA593014_Acropora-millepora	SRR10571317	sample46	dummy	BioSample: SAMN13447117; Sample name: CS13; SRA: SRS5763794	isolate: BL1249	PAIRED	1608524	869582
PRJNA593014_Acropora-millepora	SRR10571318	sample47	dummy	BioSample: SAMN13447116; Sample name: CS12; SRA: SRS5763793	isolate: BL1248	PAIRED	1224558	689863
PRJNA593014_Acropora-millepora	SRR10571319	sample48	dummy	BioSample: SAMN13447115; Sample name: CS11; SRA: SRS5764162	isolate: BL1246	PAIRED	1832608	997409
PRJNA593014_Acropora-millepora	SRR10571320	sample49	dummy	BioSample: SAMN13447114; Sample name: CS10; SRA: SRS5764233	isolate: BL1245	PAIRED	2321734	1195442
PRJNA593014_Acropora-millepora	SRR10571321	sample50	dummy	BioSample: SAMN13447113; Sample name: CS09; SRA: SRS5764232	isolate: BL1242	PAIRED	2048303	1057003
PRJNA593014_Acropora-millepora	SRR10571323	sample51	dummy	BioSample: SAMN13447112; Sample name: CS08; SRA: SRS5764231	isolate: BL1237	PAIRED	1929940	918698
PRJNA593014_Acropora-millepora	SRR10571324	sample52	dummy	BioSample: SAMN13447111; Sample name: CS07; SRA: SRS5764153	isolate: BL1236	PAIRED	1317501	760428
PRJNA593014_Acropora-millepora	SRR10571325	sample53	dummy	BioSample: SAMN13447110; Sample name: CS06; SRA: SRS5764230	isolate: BL1190	PAIRED	2501984	1342234
PRJNA593014_Acropora-millepora	SRR10571326	sample54	dummy	BioSample: SAMN13447109; Sample name: CS05; SRA: SRS5764033	isolate: BL1189	PAIRED	1349637	825433
PRJNA593014_Acropora-millepora	SRR10571327	sample55	dummy	BioSample: SAMN13447121; Sample name: CS04; SRA: SRS5763792	isolate: BL1187	PAIRED	2014187	1019183
PRJNA593014_Acropora-millepora	SRR10571328	sample56	dummy	BioSample: SAMN13447120; Sample name: CS03; SRA: SRS5764229	isolate: BL1131	PAIRED	2221514	1118638
PRJNA593014_Acropora-millepora	SRR10571329	sample57	dummy	BioSample: SAMN13447262; Sample name: NB10; SRA: SRS5764228	isolate: BL727	PAIRED	3953783	2258021
PRJNA593014_Acropora-millepora	SRR10571330	sample58	dummy	BioSample: SAMN13447261; Sample name: NB09; SRA: SRS5764227	isolate: BL725	PAIRED	3240929	1769946
PRJNA593014_Acropora-millepora	SRR10571331	sample59	dummy	BioSample: SAMN13447260; Sample name: NB08; SRA: SRS5764226	isolate: BL720	PAIRED	1907603	1190219
PRJNA593014_Acropora-millepora	SRR10571332	sample60	dummy	BioSample: SAMN13447259; Sample name: NB07; SRA: SRS5764225	isolate: BL717	PAIRED	2461208	1412348
PRJNA593014_Acropora-millepora	SRR10571333	sample61	dummy	BioSample: SAMN13447258; Sample name: NB06; SRA: SRS5764224	isolate: BL699	PAIRED	1984352	1048730
PRJNA593014_Acropora-millepora	SRR10571334	sample62	dummy	BioSample: SAMN13447257; Sample name: NB05; SRA: SRS5764223	isolate: BL697	PAIRED	5022763	2707755
PRJNA593014_Acropora-millepora	SRR10571335	sample63	dummy	BioSample: SAMN13447256; Sample name: NB04; SRA: SRS5764175	isolate: BL696	PAIRED	1518605	839540
PRJNA593014_Acropora-millepora	SRR10571336	sample64	dummy	BioSample: SAMN13447268; Sample name: NB03; SRA: SRS5764222	isolate: BL695	PAIRED	4705520	2655204
PRJNA593014_Acropora-millepora	SRR10571337	sample65	dummy	BioSample: SAMN13447266; Sample name: NB02; SRA: SRS5764174	isolate: BL692	PAIRED	1687030	1017358
PRJNA593014_Acropora-millepora	SRR10571338	sample66	dummy	BioSample: SAMN13447265; Sample name: NB01; SRA: SRS5764173	isolate: BL691	PAIRED	691763	373882
PRJNA593014_Acropora-millepora	SRR10571341	sample67	dummy	BioSample: SAMN13447251; Sample name: JB17; SRA: SRS5763791	isolate: BL1774	PAIRED	2178490	691956
PRJNA593014_Acropora-millepora	SRR10571342	sample68	dummy	BioSample: SAMN13447250; Sample name: JB16; SRA: SRS5764220	isolate: BL1773	PAIRED	5108121	2197065
PRJNA593014_Acropora-millepora	SRR10571343	sample69	dummy	BioSample: SAMN13447249; Sample name: JB15; SRA: SRS5764219	isolate: BL1767	PAIRED	2316031	765009
PRJNA593014_Acropora-millepora	SRR10571344	sample70	dummy	BioSample: SAMN13447248; Sample name: JB14; SRA: SRS5764218	isolate: BL1766	PAIRED	1899877	548647
PRJNA593014_Acropora-millepora	SRR10571345	sample71	dummy	BioSample: SAMN13447247; Sample name: JB13; SRA: SRS5764217	isolate: BL1765	PAIRED	5955336	2955715
PRJNA593014_Acropora-millepora	SRR10571346	sample72	dummy	BioSample: SAMN13447246; Sample name: JB12; SRA: SRS5764216	isolate: BL1763	PAIRED	6477138	3132588
PRJNA593014_Acropora-millepora	SRR10571347	sample73	dummy	BioSample: SAMN13447245; Sample name: JB11; SRA: SRS5764215	isolate: BL1762	PAIRED	5758649	2736078
PRJNA593014_Acropora-millepora	SRR10571348	sample74	dummy	BioSample: SAMN13447244; Sample name: JB10; SRA: SRS5764214	isolate: BL1761	PAIRED	3565834	1417272
PRJNA593014_Acropora-millepora	SRR10571349	sample75	dummy	BioSample: SAMN13447243; Sample name: JB09; SRA: SRS5764213	isolate: BL1757	PAIRED	2189357	519553
PRJNA593014_Acropora-millepora	SRR10571350	sample76	dummy	BioSample: SAMN13447242; Sample name: JB08; SRA: SRS5764212	isolate: BL1756	PAIRED	3815177	1557511
