link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA595396_Bathygobius-cocosensis	SRR10687211	sample0	dummy	BioSample: SAMN13552844; Sample name: batch1_Pool_14_S31_L004; SRA: SRS5823102		PAIRED	10850293	10686841
PRJNA595396_Bathygobius-cocosensis	SRR10687212	sample1	dummy	BioSample: SAMN13552843; Sample name: batch1_Pool_14_S29_L006; SRA: SRS5823101		PAIRED	6196931	5824573
PRJNA595396_Bathygobius-cocosensis	SRR10687213	sample2	dummy	BioSample: SAMN13552842; Sample name: batch1_Pool_13_S30_L004; SRA: SRS5823104		PAIRED	2723644	2672603
PRJNA595396_Bathygobius-cocosensis	SRR10687214	sample3	dummy	BioSample: SAMN13552841; Sample name: batch1_Pool_13_S28_L006; SRA: SRS5823105		PAIRED	1649371	1512727
PRJNA595396_Bathygobius-cocosensis	SRR10687215	sample4	dummy	BioSample: SAMN13552894; Sample name: batch2_Pool_9_S17_L004; SRA: SRS5823100		PAIRED	20397010	19142328
PRJNA595396_Bathygobius-cocosensis	SRR10687216	sample5	dummy	BioSample: SAMN13552893; Sample name: batch2_Pool_8_S16_L004; SRA: SRS5823099		PAIRED	20026596	18903454
PRJNA595396_Bathygobius-cocosensis	SRR10687217	sample6	dummy	BioSample: SAMN13552892; Sample name: batch2_Pool_7_S15_L004; SRA: SRS5823096		PAIRED	17972563	16947444
PRJNA595396_Bathygobius-cocosensis	SRR10687218	sample7	dummy	BioSample: SAMN13552891; Sample name: batch2_Pool_6_S14_L004; SRA: SRS5823095		PAIRED	19686141	18576639
PRJNA595396_Bathygobius-cocosensis	SRR10687219	sample8	dummy	BioSample: SAMN13552890; Sample name: batch2_Pool_5_S13_L004; SRA: SRS5823098		PAIRED	4452339	3842981
PRJNA595396_Bathygobius-cocosensis	SRR10687220	sample9	dummy	BioSample: SAMN13552889; Sample name: batch2_Pool_4_S12_L004; SRA: SRS5823097		PAIRED	7333844	6933973
PRJNA595396_Bathygobius-cocosensis	SRR10687221	sample10	dummy	BioSample: SAMN13552888; Sample name: batch2_Pool_3_S11_L004; SRA: SRS5823094		PAIRED	28164340	26677274
PRJNA595396_Bathygobius-cocosensis	SRR10687222	sample11	dummy	BioSample: SAMN13552887; Sample name: batch2_Pool_2_S10_L004; SRA: SRS5823093		PAIRED	24872736	23390421
PRJNA595396_Bathygobius-cocosensis	SRR10687223	sample12	dummy	BioSample: SAMN13552886; Sample name: batch2_Pool_20_S28_L004; SRA: SRS5823091		PAIRED	10970863	9321931
PRJNA595396_Bathygobius-cocosensis	SRR10687224	sample13	dummy	BioSample: SAMN13552885; Sample name: batch2_Pool_1_S9_L004; SRA: SRS5823092		PAIRED	29611735	28009910
PRJNA595396_Bathygobius-cocosensis	SRR10687225	sample14	dummy	BioSample: SAMN13552840; Sample name: batch1_Pool_12_S29_L004; SRA: SRS5823089		PAIRED	4591778	4511553
PRJNA595396_Bathygobius-cocosensis	SRR10687226	sample15	dummy	BioSample: SAMN13552884; Sample name: batch2_Pool_19_S27_L004; SRA: SRS5823090		PAIRED	7945364	7475701
PRJNA595396_Bathygobius-cocosensis	SRR10687227	sample16	dummy	BioSample: SAMN13552883; Sample name: batch2_Pool_18_S26_L004; SRA: SRS5823088		PAIRED	2379937	2230818
PRJNA595396_Bathygobius-cocosensis	SRR10687228	sample17	dummy	BioSample: SAMN13552882; Sample name: batch2_Pool_17_S25_L004; SRA: SRS5823087		PAIRED	5233593	4755845
PRJNA595396_Bathygobius-cocosensis	SRR10687229	sample18	dummy	BioSample: SAMN13552881; Sample name: batch2_Pool_16_S24_L004; SRA: SRS5823084		PAIRED	6319287	5946308
PRJNA595396_Bathygobius-cocosensis	SRR10687230	sample19	dummy	BioSample: SAMN13552880; Sample name: batch2_Pool_15_S23_L004; SRA: SRS5823083		PAIRED	9223898	8588040
PRJNA595396_Bathygobius-cocosensis	SRR10687231	sample20	dummy	BioSample: SAMN13552879; Sample name: batch2_Pool_14_S22_L004; SRA: SRS5823085		PAIRED	12592892	11901342
PRJNA595396_Bathygobius-cocosensis	SRR10687232	sample21	dummy	BioSample: SAMN13552878; Sample name: batch2_Pool_13_S21_L004; SRA: SRS5823082		PAIRED	1917484	1785923
PRJNA595396_Bathygobius-cocosensis	SRR10687233	sample22	dummy	BioSample: SAMN13552877; Sample name: batch2_Pool_12_S20_L004; SRA: SRS5823080		PAIRED	3126736	2914700
