link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA629489_Fucus-vesiculosus	SRR11697983	sample0	dummy	BioSample: SAMN14825622; Sample name: D3_06; SRA: SRS6599791	ecotype: Oresund Denmark	SINGLE	12895621	12614345
PRJNA629489_Fucus-vesiculosus	SRR11697984	sample1	dummy	BioSample: SAMN14825621; Sample name: D3_05; SRA: SRS6599790	ecotype: Oresund Denmark	SINGLE	8517689	8338471
PRJNA629489_Fucus-vesiculosus	SRR11697985	sample2	dummy	BioSample: SAMN14825620; Sample name: D3_04; SRA: SRS6599789	ecotype: Oresund Denmark	SINGLE	13029073	12740500
PRJNA629489_Fucus-vesiculosus	SRR11697986	sample3	dummy	BioSample: SAMN14825619; Sample name: D3_02; SRA: SRS6599788	ecotype: Oresund Denmark	SINGLE	9834451	9605002
PRJNA629489_Fucus-vesiculosus	SRR11697987	sample4	dummy	BioSample: SAMN14825618; Sample name: D3_01; SRA: SRS6599787	ecotype: Oresund Denmark	SINGLE	12012067	11731322
PRJNA629489_Fucus-vesiculosus	SRR11697988	sample5	dummy	BioSample: SAMN14825617; Sample name: D1_04Rep; SRA: SRS6599786	ecotype: Oresund Denmark	SINGLE	5664043	5552185
PRJNA629489_Fucus-vesiculosus	SRR11697989	sample6	dummy	BioSample: SAMN14825616; Sample name: D1_03Rep; SRA: SRS6599785	ecotype: Oresund Denmark	SINGLE	10333789	10128229
PRJNA629489_Fucus-vesiculosus	SRR11697990	sample7	dummy	BioSample: SAMN14825615; Sample name: D1_02Rep; SRA: SRS6599784	ecotype: Oresund Denmark	SINGLE	11518416	11331066
PRJNA629489_Fucus-vesiculosus	SRR11697991	sample8	dummy	BioSample: SAMN14825614; Sample name: D1_01Rep; SRA: SRS6599783	ecotype: Oresund Denmark	SINGLE	9663235	9457995
PRJNA629489_Fucus-vesiculosus	SRR11697992	sample9	dummy	BioSample: SAMN14825613; Sample name: D1_24; SRA: SRS6599782	ecotype: Oresund Denmark	SINGLE	12357637	12118392
PRJNA629489_Fucus-vesiculosus	SRR11697993	sample10	dummy	BioSample: SAMN14825532; Sample name: S1_11; SRA: SRS6599780	ecotype: Oresund Sweden	SINGLE	9766260	9579492
PRJNA629489_Fucus-vesiculosus	SRR11697994	sample11	dummy	BioSample: SAMN14825612; Sample name: D1_23; SRA: SRS6599781	ecotype: Oresund Denmark	SINGLE	9030760	8838870
PRJNA629489_Fucus-vesiculosus	SRR11697995	sample12	dummy	BioSample: SAMN14825611; Sample name: D1_22; SRA: SRS6599779	ecotype: Oresund Denmark	SINGLE	8459546	8290207
PRJNA629489_Fucus-vesiculosus	SRR11697996	sample13	dummy	BioSample: SAMN14825610; Sample name: D1_20; SRA: SRS6599778	ecotype: Oresund Denmark	SINGLE	9149639	8958363
PRJNA629489_Fucus-vesiculosus	SRR11697997	sample14	dummy	BioSample: SAMN14825609; Sample name: D1_19; SRA: SRS6599777	ecotype: Oresund Denmark	SINGLE	8256385	8096077
PRJNA629489_Fucus-vesiculosus	SRR11697998	sample15	dummy	BioSample: SAMN14825608; Sample name: D1_18; SRA: SRS6599776	ecotype: Oresund Denmark	SINGLE	7762886	7601272
PRJNA629489_Fucus-vesiculosus	SRR11697999	sample16	dummy	BioSample: SAMN14825607; Sample name: D1_15; SRA: SRS6599775	ecotype: Oresund Denmark	SINGLE	9503912	9310433
PRJNA629489_Fucus-vesiculosus	SRR11698000	sample17	dummy	BioSample: SAMN14825606; Sample name: D1_14; SRA: SRS6599774	ecotype: Oresund Denmark	SINGLE	9165676	8985982
PRJNA629489_Fucus-vesiculosus	SRR11698001	sample18	dummy	BioSample: SAMN14825605; Sample name: D1_13; SRA: SRS6599773	ecotype: Oresund Denmark	SINGLE	9170848	8980485
PRJNA629489_Fucus-vesiculosus	SRR11698002	sample19	dummy	BioSample: SAMN14825604; Sample name: D1_11; SRA: SRS6599772	ecotype: Oresund Denmark	SINGLE	9512495	9332394
PRJNA629489_Fucus-vesiculosus	SRR11698003	sample20	dummy	BioSample: SAMN14825603; Sample name: D1_10; SRA: SRS6599771	ecotype: Oresund Denmark	SINGLE	11036555	10813479
PRJNA629489_Fucus-vesiculosus	SRR11698004	sample21	dummy	BioSample: SAMN14825531; Sample name: S1_10; SRA: SRS6599770	ecotype: Oresund Sweden	SINGLE	9452386	9274520
PRJNA629489_Fucus-vesiculosus	SRR11698005	sample22	dummy	BioSample: SAMN14825602; Sample name: D1_09; SRA: SRS6599769	ecotype: Oresund Denmark	SINGLE	11803645	11565110
PRJNA629489_Fucus-vesiculosus	SRR11698006	sample23	dummy	BioSample: SAMN14825601; Sample name: D1_08; SRA: SRS6599768	ecotype: Oresund Denmark	SINGLE	10585598	10348375
PRJNA629489_Fucus-vesiculosus	SRR11698007	sample24	dummy	BioSample: SAMN14825600; Sample name: D1_07; SRA: SRS6599767	ecotype: Oresund Denmark	SINGLE	10876600	10646949
PRJNA629489_Fucus-vesiculosus	SRR11698008	sample25	dummy	BioSample: SAMN14825599; Sample name: D1_06; SRA: SRS6599766	ecotype: Oresund Denmark	SINGLE	11701338	11466451
PRJNA629489_Fucus-vesiculosus	SRR11698009	sample26	dummy	BioSample: SAMN14825598; Sample name: D1_05; SRA: SRS6599765	ecotype: Oresund Denmark	SINGLE	9559197	9362279
PRJNA629489_Fucus-vesiculosus	SRR11698010	sample27	dummy	BioSample: SAMN14825597; Sample name: D1_04; SRA: SRS6599764	ecotype: Oresund Denmark	SINGLE	11529721	11290538
PRJNA629489_Fucus-vesiculosus	SRR11698011	sample28	dummy	BioSample: SAMN14825596; Sample name: D1_03; SRA: SRS6599763	ecotype: Oresund Denmark	SINGLE	13176233	12902322
PRJNA629489_Fucus-vesiculosus	SRR11698012	sample29	dummy	BioSample: SAMN14825595; Sample name: D1_02; SRA: SRS6599762	ecotype: Oresund Denmark	SINGLE	9755611	9593748
PRJNA629489_Fucus-vesiculosus	SRR11698013	sample30	dummy	BioSample: SAMN14825594; Sample name: D1_01; SRA: SRS6599761	ecotype: Oresund Denmark	SINGLE	11316012	11092320
PRJNA629489_Fucus-vesiculosus	SRR11698014	sample31	dummy	BioSample: SAMN14825593; Sample name: S3_18Rep; SRA: SRS6599760	ecotype: Oresund Sweden	SINGLE	10538063	10321905
PRJNA629489_Fucus-vesiculosus	SRR11698015	sample32	dummy	BioSample: SAMN14825530; Sample name: S1_09; SRA: SRS6599759	ecotype: Oresund Sweden	SINGLE	10750077	10552116
PRJNA629489_Fucus-vesiculosus	SRR11698016	sample33	dummy	BioSample: SAMN14825592; Sample name: S3_07Rep; SRA: SRS6599758	ecotype: Oresund Sweden	SINGLE	10827917	10622538
