link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA631144_Mallotus-villosus	SRR11730659	sample0	dummy	BioSample: SAMN14853350; Sample name: MID_13.fq.gz; SRA: SRS6611775	ecotype: Beach	SINGLE	288009	264928
PRJNA631144_Mallotus-villosus	SRR11730660	sample1	dummy	BioSample: SAMN14853349; Sample name: MID_12.fq.gz; SRA: SRS6611773	ecotype: Beach	SINGLE	841273	778778
PRJNA631144_Mallotus-villosus	SRR11730661	sample2	dummy	BioSample: SAMN14853348; Sample name: MID_11.fq.gz; SRA: SRS6611771	ecotype: Beach	SINGLE	1037283	972126
PRJNA631144_Mallotus-villosus	SRR11730662	sample3	dummy	BioSample: SAMN14853347; Sample name: MID_10.fq.gz; SRA: SRS6611772	ecotype: Beach	SINGLE	956606	884404
PRJNA631144_Mallotus-villosus	SRR11730663	sample4	dummy	BioSample: SAMN14853346; Sample name: Mak2DSea_9.fq.gz; SRA: SRS6611770	ecotype: Demersal	SINGLE	1524529	1431742
PRJNA631144_Mallotus-villosus	SRR11730664	sample5	dummy	BioSample: SAMN14853345; Sample name: Mak2DSea_8.fq.gz; SRA: SRS6611769	ecotype: Demersal	SINGLE	1286522	1214675
PRJNA631144_Mallotus-villosus	SRR11730665	sample6	dummy	BioSample: SAMN14853344; Sample name: Mak2DSea_7.fq.gz; SRA: SRS6611766	ecotype: Demersal	SINGLE	1321446	1262366
PRJNA631144_Mallotus-villosus	SRR11730666	sample7	dummy	BioSample: SAMN14853343; Sample name: Mak2DSea_6.fq.gz; SRA: SRS6611767	ecotype: Demersal	SINGLE	982132	925766
PRJNA631144_Mallotus-villosus	SRR11730667	sample8	dummy	BioSample: SAMN14852830; Sample name: BEL-D_29.fq.gz; SRA: SRS6611768	ecotype: Demersal	SINGLE	545039	513974
PRJNA631144_Mallotus-villosus	SRR11730668	sample9	dummy	BioSample: SAMN14853342; Sample name: Mak2DSea_4.fq.gz; SRA: SRS6611765	ecotype: Demersal	SINGLE	1361510	1283949
PRJNA631144_Mallotus-villosus	SRR11730669	sample10	dummy	BioSample: SAMN14853341; Sample name: Mak2DSea_3.fq.gz; SRA: SRS6611764	ecotype: Demersal	SINGLE	1154006	1095219
PRJNA631144_Mallotus-villosus	SRR11730670	sample11	dummy	BioSample: SAMN14853340; Sample name: Mak2DSea_25.fq.gz; SRA: SRS6611763	ecotype: Demersal	SINGLE	500946	470145
PRJNA631144_Mallotus-villosus	SRR11730671	sample12	dummy	BioSample: SAMN14853339; Sample name: Mak2DSea_24.fq.gz; SRA: SRS6611762	ecotype: Demersal	SINGLE	337514	315238
PRJNA631144_Mallotus-villosus	SRR11730672	sample13	dummy	BioSample: SAMN14853338; Sample name: Mak2DSea_23.fq.gz; SRA: SRS6611761	ecotype: Demersal	SINGLE	413329	389612
PRJNA631144_Mallotus-villosus	SRR11730673	sample14	dummy	BioSample: SAMN14853337; Sample name: Mak2DSea_22.fq.gz; SRA: SRS6611760	ecotype: Demersal	SINGLE	772665	718657
PRJNA631144_Mallotus-villosus	SRR11730674	sample15	dummy	BioSample: SAMN14853336; Sample name: Mak2DSea_20.fq.gz; SRA: SRS6611759	ecotype: Demersal	SINGLE	349452	328869
PRJNA631144_Mallotus-villosus	SRR11730675	sample16	dummy	BioSample: SAMN14853335; Sample name: Mak2DSea_1.fq.gz; SRA: SRS6611758	ecotype: Demersal	SINGLE	1072215	1008519
PRJNA631144_Mallotus-villosus	SRR11730676	sample17	dummy	BioSample: SAMN14853334; Sample name: Mak2DSea_19.fq.gz; SRA: SRS6611757	ecotype: Demersal	SINGLE	1142887	1060474
PRJNA631144_Mallotus-villosus	SRR11730677	sample18	dummy	BioSample: SAMN14853333; Sample name: Mak2DSea_18.fq.gz; SRA: SRS6611756	ecotype: Demersal	SINGLE	1062330	994602
PRJNA631144_Mallotus-villosus	SRR11730678	sample19	dummy	BioSample: SAMN14852829; Sample name: BEL-D_28.fq.gz; SRA: SRS6611755	ecotype: Demersal	SINGLE	839753	791220
PRJNA631144_Mallotus-villosus	SRR11730679	sample20	dummy	BioSample: SAMN14853332; Sample name: Mak2DSea_17.fq.gz; SRA: SRS6611753	ecotype: Demersal	SINGLE	851964	807521
PRJNA631144_Mallotus-villosus	SRR11730680	sample21	dummy	BioSample: SAMN14853331; Sample name: Mak2DSea_16.fq.gz; SRA: SRS6611752	ecotype: Demersal	SINGLE	884379	826479
PRJNA631144_Mallotus-villosus	SRR11730681	sample22	dummy	BioSample: SAMN14853330; Sample name: Mak2DSea_15.fq.gz; SRA: SRS6611754	ecotype: Demersal	SINGLE	841932	781302
PRJNA631144_Mallotus-villosus	SRR11730682	sample23	dummy	BioSample: SAMN14853329; Sample name: Mak2DSea_12.fq.gz; SRA: SRS6611420	ecotype: Demersal	SINGLE	967192	912606
PRJNA631144_Mallotus-villosus	SRR11730683	sample24	dummy	BioSample: SAMN14853295; Sample name: MAK1_21.fq.gz; SRA: SRS6611750	ecotype: Beach	SINGLE	1140320	1070489
PRJNA631144_Mallotus-villosus	SRR11730684	sample25	dummy	BioSample: SAMN14853294; Sample name: MAK1_20.fq.gz; SRA: SRS6611749	ecotype: Beach	SINGLE	1174551	1101788
PRJNA631144_Mallotus-villosus	SRR11730685	sample26	dummy	BioSample: SAMN14853293; Sample name: MAK1_1.fq.gz; SRA: SRS6611748	ecotype: Beach	SINGLE	1576378	1493472
PRJNA631144_Mallotus-villosus	SRR11730686	sample27	dummy	BioSample: SAMN14852825; Sample name: BEL-D_24.fq.gz; SRA: SRS6611747	ecotype: Demersal	SINGLE	159747	149894
PRJNA631144_Mallotus-villosus	SRR11730687	sample28	dummy	BioSample: SAMN14853292; Sample name: MAK1_19.fq.gz; SRA: SRS6611745	ecotype: Beach	SINGLE	1132904	1074326
PRJNA631144_Mallotus-villosus	SRR11730688	sample29	dummy	BioSample: SAMN14853291; Sample name: MAK1_18.fq.gz; SRA: SRS6611746	ecotype: Beach	SINGLE	1165063	1101517
PRJNA631144_Mallotus-villosus	SRR11730689	sample30	dummy	BioSample: SAMN14853290; Sample name: MAK1_17.fq.gz; SRA: SRS6611744	ecotype: Beach	SINGLE	1241041	1176963
PRJNA631144_Mallotus-villosus	SRR11730690	sample31	dummy	BioSample: SAMN14853289; Sample name: MAK1_16.fq.gz; SRA: SRS6611743	ecotype: Beach	SINGLE	1095658	1038862
