link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA632874_Anthopleura-elegantissima	SRR11797070	sample0	dummy	BioSample: SAMN14924557; Sample name: BBAAE8I; SRA: SRS6665317		PAIRED	297533	296782
PRJNA632874_Anthopleura-elegantissima	SRR11797071	sample1	dummy	BioSample: SAMN14924556; Sample name: BBAAE7I; SRA: SRS6665316		PAIRED	701241	699690
PRJNA632874_Anthopleura-elegantissima	SRR11797072	sample2	dummy	BioSample: SAMN14924555; Sample name: BBAAE6I; SRA: SRS6665314		PAIRED	353577	352618
PRJNA632874_Anthopleura-elegantissima	SRR11797073	sample3	dummy	BioSample: SAMN14924554; Sample name: BBAAE2I; SRA: SRS6665315		PAIRED	405576	404778
PRJNA632874_Anthopleura-elegantissima	SRR11797074	sample4	dummy	BioSample: SAMN14924553; Sample name: BBAAE19I; SRA: SRS6665313		PAIRED	279867	279010
PRJNA632874_Anthopleura-elegantissima	SRR11797075	sample5	dummy	BioSample: SAMN14924552; Sample name: BBAAE16I; SRA: SRS6665312		PAIRED	106505	106321
PRJNA632874_Anthopleura-elegantissima	SRR11797076	sample6	dummy	BioSample: SAMN14924551; Sample name: BBAAE10I; SRA: SRS6665311		PAIRED	313989	313209
PRJNA632874_Anthopleura-elegantissima	SRR11797078	sample7	dummy	BioSample: SAMN14924549; Sample name: BBRAE227; SRA: SRS6665309		PAIRED	479843	212806
PRJNA632874_Anthopleura-elegantissima	SRR11797079	sample8	dummy	BioSample: SAMN14924548; Sample name: BBRAE215; SRA: SRS6665308		PAIRED	272523	120894
PRJNA632874_Anthopleura-elegantissima	SRR11797080	sample9	dummy	BioSample: SAMN14924467; Sample name: 100V15; SRA: SRS6665307		PAIRED	178401	177515
PRJNA632874_Anthopleura-elegantissima	SRR11797081	sample10	dummy	BioSample: SAMN14924547; Sample name: BBRAE226; SRA: SRS6665306		PAIRED	422945	187561
PRJNA632874_Anthopleura-elegantissima	SRR11797082	sample11	dummy	BioSample: SAMN14924546; Sample name: BBRAE229; SRA: SRS6665305		PAIRED	389522	172570
PRJNA632874_Anthopleura-elegantissima	SRR11797083	sample12	dummy	BioSample: SAMN14924545; Sample name: BBRAE214; SRA: SRS6665304		PAIRED	461812	204834
PRJNA632874_Anthopleura-elegantissima	SRR11797084	sample13	dummy	BioSample: SAMN14924544; Sample name: BBRAE224; SRA: SRS6665303		PAIRED	274032	121365
PRJNA632874_Anthopleura-elegantissima	SRR11797085	sample14	dummy	BioSample: SAMN14924543; Sample name: BBRAE216; SRA: SRS6665302		PAIRED	421030	186684
