link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA646172_Bathyraja-aleutica	SRR12217752	sample0	dummy	BioSample: SAMN15525737; Sample name: BeringAL_1517; SRA: SRS7002970	strain: 541	SINGLE	1102929	1101022
PRJNA646172_Bathyraja-aleutica	SRR12217753	sample1	dummy	BioSample: SAMN15525736; Sample name: BeringAL_1516; SRA: SRS7002969	strain: 540	SINGLE	6284890	6275021
PRJNA646172_Bathyraja-aleutica	SRR12217755	sample2	dummy	BioSample: SAMN15525734; Sample name: BeringAL_1514; SRA: SRS7002967	strain: 538	SINGLE	15128349	15105911
PRJNA646172_Bathyraja-aleutica	SRR12217756	sample3	dummy	BioSample: SAMN15525733; Sample name: BeringAL_1513; SRA: SRS7002966	strain: 537	SINGLE	11607412	11590207
PRJNA646172_Bathyraja-aleutica	SRR12217757	sample4	dummy	BioSample: SAMN15525732; Sample name: BeringAL_1512; SRA: SRS7002965	strain: 536	SINGLE	1166140	1164229
PRJNA646172_Bathyraja-aleutica	SRR12217758	sample5	dummy	BioSample: SAMN15525731; Sample name: BeringAL_1511; SRA: SRS7002964	strain: 535	SINGLE	11689944	11672547
PRJNA646172_Bathyraja-aleutica	SRR12217759	sample6	dummy	BioSample: SAMN15525730; Sample name: BeringAL_1510; SRA: SRS7002963	strain: 534	SINGLE	1500672	1498498
PRJNA646172_Bathyraja-aleutica	SRR12217760	sample7	dummy	BioSample: SAMN15525729; Sample name: BeringAL_1509; SRA: SRS7002962	strain: 533	SINGLE	23084294	23051908
PRJNA646172_Bathyraja-aleutica	SRR12217761	sample8	dummy	BioSample: SAMN15525728; Sample name: BeringAL_1508; SRA: SRS7002961	strain: 532	SINGLE	4602951	4596229
PRJNA646172_Bathyraja-aleutica	SRR12217763	sample9	dummy	BioSample: SAMN15525727; Sample name: BeringAL_1507; SRA: SRS7002959	strain: 531	SINGLE	10016093	10001768
PRJNA646172_Bathyraja-aleutica	SRR12217764	sample10	dummy	BioSample: SAMN15525726; Sample name: BeringAL_1506; SRA: SRS7002958	strain: 530	SINGLE	2095964	2092888
PRJNA646172_Bathyraja-aleutica	SRR12217765	sample11	dummy	BioSample: SAMN15525725; Sample name: BeringAL_1505; SRA: SRS7002957	strain: 529	SINGLE	4660931	4653723
PRJNA646172_Bathyraja-aleutica	SRR12217766	sample12	dummy	BioSample: SAMN15525724; Sample name: BeringAL_1504; SRA: SRS7002956	strain: 528	SINGLE	898098	896671
PRJNA646172_Bathyraja-aleutica	SRR12217767	sample13	dummy	BioSample: SAMN15525723; Sample name: BeringAL_1503; SRA: SRS7002955	strain: 527	SINGLE	1190346	1188601
PRJNA646172_Bathyraja-aleutica	SRR12217768	sample14	dummy	BioSample: SAMN15525722; Sample name: BeringAL_1502; SRA: SRS7002954	strain: 526	SINGLE	4142820	4136871
PRJNA646172_Bathyraja-aleutica	SRR12217769	sample15	dummy	BioSample: SAMN15525721; Sample name: BeringAL_1501; SRA: SRS7002953	strain: 525	SINGLE	2605618	2601338
PRJNA646172_Bathyraja-aleutica	SRR12217922	sample16	dummy	BioSample: SAMN15525816; Sample name: PervenetsAL_6579; SRA: SRS7003154	strain: 620	SINGLE	1952808	1949355
PRJNA646172_Bathyraja-aleutica	SRR12217923	sample17	dummy	BioSample: SAMN15525815; Sample name: PervenetsAL_6578; SRA: SRS7003153	strain: 619	SINGLE	6719712	6708052
PRJNA646172_Bathyraja-aleutica	SRR12217924	sample18	dummy	BioSample: SAMN15525814; Sample name: PervenetsAL_6577; SRA: SRS7003152	strain: 618	SINGLE	12114701	12093062
PRJNA646172_Bathyraja-aleutica	SRR12217925	sample19	dummy	BioSample: SAMN15525813; Sample name: PervenetsAL_6576; SRA: SRS7003151	strain: 617	SINGLE	1200628	1197998
PRJNA646172_Bathyraja-aleutica	SRR12217926	sample20	dummy	BioSample: SAMN15525812; Sample name: PervenetsAL_6575; SRA: SRS7003150	strain: 616	SINGLE	1811772	1808165
PRJNA646172_Bathyraja-aleutica	SRR12217927	sample21	dummy	BioSample: SAMN15525811; Sample name: PervenetsAL_6574; SRA: SRS7003149	strain: 615	SINGLE	8232066	8217457
PRJNA646172_Bathyraja-aleutica	SRR12217928	sample22	dummy	BioSample: SAMN15525810; Sample name: PervenetsAL_6573; SRA: SRS7003148	strain: 614	SINGLE	3214083	3208386
PRJNA646172_Bathyraja-aleutica	SRR12217929	sample23	dummy	BioSample: SAMN15525809; Sample name: PervenetsAL_6572; SRA: SRS7003147	strain: 613	SINGLE	6767624	6756202
PRJNA646172_Bathyraja-aleutica	SRR12217930	sample24	dummy	BioSample: SAMN15525808; Sample name: PervenetsAL_6570; SRA: SRS7003146	strain: 612	SINGLE	11983938	11962415
PRJNA646172_Bathyraja-aleutica	SRR12217933	sample25	dummy	BioSample: SAMN15525807; Sample name: PervenetsAL_6569; SRA: SRS7003144	strain: 611	SINGLE	616352	615057
PRJNA646172_Bathyraja-aleutica	SRR12217934	sample26	dummy	BioSample: SAMN15525806; Sample name: PervenetsAL_6568; SRA: SRS7003142	strain: 610	SINGLE	12857486	12832770
PRJNA646172_Bathyraja-aleutica	SRR12217935	sample27	dummy	BioSample: SAMN15525805; Sample name: PervenetsAL_6567; SRA: SRS7003141	strain: 609	SINGLE	2845385	2840558
