link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA646172_Bathyraja-parmifera	SRR12217751	sample0	dummy	BioSample: SAMN15525260; Sample name: IPZ1_3054; SRA: SRS7002971	strain: 54	SINGLE	3451611	3446470
PRJNA646172_Bathyraja-parmifera	SRR12217762	sample1	dummy	BioSample: SAMN15525259; Sample name: IPZ1_3053; SRA: SRS7002960	strain: 53	SINGLE	8429253	8416132
PRJNA646172_Bathyraja-parmifera	SRR12217770	sample2	dummy	BioSample: SAMN15525720; Sample name: Bering_24; SRA: SRS7002952	strain: 524	SINGLE	4580366	4480636
PRJNA646172_Bathyraja-parmifera	SRR12217771	sample3	dummy	BioSample: SAMN15525719; Sample name: Bering_23; SRA: SRS7002951	strain: 523	SINGLE	3944989	3868100
PRJNA646172_Bathyraja-parmifera	SRR12217772	sample4	dummy	BioSample: SAMN15525718; Sample name: Bering_22; SRA: SRS7002950	strain: 522	SINGLE	5409127	5290769
PRJNA646172_Bathyraja-parmifera	SRR12217773	sample5	dummy	BioSample: SAMN15525258; Sample name: IPZ1_3052; SRA: SRS7002949	strain: 52	SINGLE	6199937	6190044
PRJNA646172_Bathyraja-parmifera	SRR12217774	sample6	dummy	BioSample: SAMN15525717; Sample name: Bering_21; SRA: SRS7002948	strain: 521	SINGLE	4695171	4597102
PRJNA646172_Bathyraja-parmifera	SRR12217775	sample7	dummy	BioSample: SAMN15525716; Sample name: Bering_20; SRA: SRS7002947	strain: 520	SINGLE	1853912	1818621
PRJNA646172_Bathyraja-parmifera	SRR12217777	sample8	dummy	BioSample: SAMN15525714; Sample name: Bering_18; SRA: SRS7002945	strain: 518	SINGLE	1750369	1715981
PRJNA646172_Bathyraja-parmifera	SRR12217778	sample9	dummy	BioSample: SAMN15525713; Sample name: Bering_17; SRA: SRS7002944	strain: 517	SINGLE	2363273	2317140
PRJNA646172_Bathyraja-parmifera	SRR12217779	sample10	dummy	BioSample: SAMN15525712; Sample name: Bering_16; SRA: SRS7002943	strain: 516	SINGLE	1171372	1151662
PRJNA646172_Bathyraja-parmifera	SRR12217781	sample11	dummy	BioSample: SAMN15525710; Sample name: Bering_14; SRA: SRS7002941	strain: 514	SINGLE	6218666	6104653
PRJNA646172_Bathyraja-parmifera	SRR12217782	sample12	dummy	BioSample: SAMN15525709; Sample name: Bering_13; SRA: SRS7002940	strain: 513	SINGLE	2670763	2615102
PRJNA646172_Bathyraja-parmifera	SRR12217783	sample13	dummy	BioSample: SAMN15525708; Sample name: Bering_12; SRA: SRS7002939	strain: 512	SINGLE	3269392	3197623
PRJNA646172_Bathyraja-parmifera	SRR12217784	sample14	dummy	BioSample: SAMN15525257; Sample name: IPZ1_3051; SRA: SRS7002938	strain: 51	SINGLE	15047407	15023652
PRJNA646172_Bathyraja-parmifera	SRR12217785	sample15	dummy	BioSample: SAMN15525212; Sample name: IPZ1_3006; SRA: SRS7002937	strain: 6	SINGLE	4675034	4667678
PRJNA646172_Bathyraja-parmifera	SRR12217786	sample16	dummy	BioSample: SAMN15525707; Sample name: Bering_11; SRA: SRS7002936	strain: 511	SINGLE	167500	163163
PRJNA646172_Bathyraja-parmifera	SRR12217787	sample17	dummy	BioSample: SAMN15525706; Sample name: Bering_10; SRA: SRS7002935	strain: 510	SINGLE	1125186	1099559
PRJNA646172_Bathyraja-parmifera	SRR12217788	sample18	dummy	BioSample: SAMN15525705; Sample name: Bering_9; SRA: SRS7002934	strain: 509	SINGLE	2356097	2311928
PRJNA646172_Bathyraja-parmifera	SRR12217789	sample19	dummy	BioSample: SAMN15525704; Sample name: Bering_8; SRA: SRS7002933	strain: 508	SINGLE	4402025	4308144
PRJNA646172_Bathyraja-parmifera	SRR12217790	sample20	dummy	BioSample: SAMN15525703; Sample name: Bering_7; SRA: SRS7002932	strain: 507	SINGLE	1603139	1572455
PRJNA646172_Bathyraja-parmifera	SRR12217791	sample21	dummy	BioSample: SAMN15525702; Sample name: Bering_6; SRA: SRS7002931	strain: 506	SINGLE	4822457	4721181
PRJNA646172_Bathyraja-parmifera	SRR12217792	sample22	dummy	BioSample: SAMN15525701; Sample name: Bering_5; SRA: SRS7002930	strain: 505	SINGLE	7720866	7558040
