"species","link","meanlat.genetic","minlat.genetic","maxlat.genetic","meanlat.gbif","minlat.gbif","maxlat.gbif","n_ECOREGIONS.all","n_PROVINCES.all","n_REALMS.all","n_Realm_Costello.all","n_ECOREGIONS.gbif","n_ECOREGIONS.genetic","n_PROVINCES.gbif","n_PROVINCES.genetic","n_REALMS.gbif","n_REALMS.genetic","n_Realm_Costello.gbif","n_Realm_Costello.genetic","max.95.sea.gbif","max.100.sea.gbif","maxgenetic.sea","max.95.gcd.gbif","max.100.gcd.gbif","maxgenetic.gcd","ratio.sea.95","ratio.gcd.95","ratio.sea.100","ratio.gcd.100","Body_Size","Fecundity_EggSize","Generational_Structure","ReturnToSpawningGround","Spawning_mode","Larval_feeding","PLD_point2","isPlanktonic_atanypoint","n_samples","mean_raw_read_cnt","read_length","mean_locus_depth","littlem","bigm","n","s","nugget","m","nbhd","inDeme","stacksparams","thetaW","globalPi","meanHet","taxclade","cladecolor"
"Acanthephyra_purpurea","bioprj_PRJNA553831_Acanthephyra-purpurea",29.8003370786517,25.25,39.84,32.7853224298357,-35.65,54.75163,25,9,3,7,25,3,9,3,3,2,7,2,8382,12581,3050,8127.19638353221,12523.2830062484,2532.15165045513,0.363874970174183,0.311565210308676,0.242429059693188,0.202195514482244,10,1,0,0,0,2,NA,1,96,2790902.19791667,67,87.8,3,9,"nis1lessthanM",0.999096390945772,0.0695007029911527,0.0113864485267089,853.113051787712,0.472925784123383,"littlem_3_bigm_9_n8_nis1lessthanM",0.0280360727862432,0.0133045383814111,0.00613952501741218,"crustacea","#FDBF6F"
"Acanthurus_olivaceus","bioprj_PRJNA371502_Acanthurus-olivaceus",6.65175319230769,-8.666038,21.85,12.3967453165891,-36.2485,35.116667,44,20,5,10,44,5,20,5,5,2,10,4,8871,14803,10189,8707.71025829342,14361.9121663846,10051.7518619254,1,1,0.688306424373438,0.699889523447474,35,0.75,0,0,2,2,60.8,1,52,1870687.11538462,95,14.5,3,3,"nis1morethanM",0.99514182820146,0.00576455284701193,1.89523414158319e-05,18.5893550680046,0.0194580841004713,"littlem_3_bigm_3_n4_nis1morethanM",0.00754828487292588,0.00482495153031331,0.00445407752567848,"bony fishes","#A6CEE3"
"Acropora_cervicornis","bioprj_PRJNA473816_Acropora-cervicornis",18.0047004238095,12.04069,25.2155,19.2746788030912,8.6,26.55,8,1,1,3,8,5,1,1,1,1,3,1,2470,4187,2511,2426.02296916791,4094.8467956992,2473.98625291727,1,1,0.59971339861476,0.604170650661628,98,0.65,0,0,2,1,10,1,21,14019703.2380952,150,29.4,3,3,"nis1lessthanM",0.999490696092633,0.000479287066461033,1.35379477473336e-05,118.5714675275,0.0612514208324476,"littlem_3_bigm_3_n2_nis1lessthanM",0.000669570747955251,0.000526156460109331,0.000718376189739304,"cnidarians","#FF7F00"
"Acropora_palmata","bioprj_PRJNA473816_Acropora-palmata",17.4650579865385,12.04069,25.22178,20.5614243946372,8.06817,26.782021,8,1,1,3,8,4,1,1,1,1,3,1,2401,4210,2542,2344.4160800155,4108.2236133728,2500.30053958454,1,1,0.603800475059382,0.608608677347975,160,0.561,0,0,2,1,10,1,26,13193998,150,28.9,3,3,"nequalM",0.999598367986825,0.00137803396643063,0.00964934003780501,532.317379208704,0.0608632348842275,"littlem_3_bigm_3_n3_nequalM",0.000593094686339031,0.000415988347444036,0.000594405977581224,"cnidarians","#FF7F00"
"Acropora_prolifera","bioprj_PRJNA473816_Acropora-prolifera",18.7771953415385,12.0842,24.6209,20.0255892960526,9.331017,25.216666,8,1,1,1,7,5,1,1,1,1,1,1,3072,4187,2511,3013.77640219575,4086.94937343934,2468.78306102494,0.8173828125,0.819165967065858,0.59971339861476,0.604064997004686,120,0.65,0,0,2,1,10,1,13,13578194.9230769,150,24.5,3,3,"nis1morethanM",0.999609316534433,0.000361723287758219,0.000320632211018847,37.2006372105611,0.074232627051797,"littlem_3_bigm_3_n4_nis1morethanM",0.000558805460371554,0.000413540191700529,0.000573025719761118,"cnidarians","#FF7F00"
"Agaricia_undata","bioprj_PRJNA385083_Agaricia-undata",11.6447727272727,10.23,12.54,12.6539065025381,9.31979,27.883333,8,2,2,2,8,1,2,1,2,1,2,1,2397,4124,723,2329.62233569992,3938.63772798337,715.554133471594,0.30162703379224,0.307154564285465,0.175315227934045,0.18167553933374,150,0.4,0,0,2,1,10,1,44,4241464.97727273,140,56.2,3,3,"nis1morethanM",0.996672683757279,0.00320033351267715,3.0289400912596e-05,84.4347638272586,0.0405979724631842,"littlem_3_bigm_3_n4_nis1morethanM",0.00567440626374025,0.00323892917296337,0.00256589849343878,"cnidarians","#FF7F00"
"Amphiprion_bicinctus","bioprj_PRJNA294760_Amphiprion-bicinctus",20.9150776699029,11.721,28.404,25.435567,-5.420556,29.557669,6,3,1,2,6,3,3,1,1,1,2,2,5438,6098,3118,4961.3486377415,5749.83314591487,2650.32133709216,0.573372563442442,0.534193730497165,0.511315185306658,0.460938825498815,14,3,0,0,1,2,11,1,103,911212.203883495,81,15.6,3,3,"nis1lessthanM",0.997039055020696,0.003635120188152,1.41690120309032e-09,52.1771350159685,0.105818590361806,"littlem_3_bigm_3_n2_nis1lessthanM",0.00371734781650206,0.00272486832313785,0.00257533962852583,"bony fishes","#A6CEE3"
"Anthopleura_elegantissima","bioprj_PRJNA632874_Anthopleura-elegantissima",38.6146172748201,27.133388,48.3466833333333,41.8221769159549,26.242,57.049999,7,2,1,2,7,4,2,2,1,1,2,2,2176,5288,2757,1888.28290826776,3880.29065415309,2523.86364539492,1,1,0.521369137670197,0.650431596585069,8,0.15,0,0,2,2,28,1,107,327794.457943925,94,52.9,3,3,"nis1morethanM",0.99245591716777,0.0053563871923288,3.31658166637743e-08,17.1104911899729,0.270506330234408,"littlem_3_bigm_3_n4_nis1morethanM",0.00917127297247151,0.0065382276344991,0.0043523858293144,"cnidarians","#FF7F00"
"Aptenodytes_patagonicus","bioprj_PRJNA343012_Aptenodytes-patagonicus",-51.665,-54.57,-46.43,53.0345094339252,-84.583333,-28.551944,37,14,5,9,37,4,14,3,5,2,9,2,8257,13569,8174,7750.36734190826,13167.3158764894,7849.3370486987,0.989947922974446,1,0.602402535190508,0.596122787842728,100,100,0,1,1,0,0,0,63,7152760.66666667,114,77.4,3,3,"nis1lessthanM",0.997932661739967,0.00205471292909901,0.00895452268390626,689.273722479141,0.00674629832955879,"littlem_3_bigm_3_n2_nis1lessthanM",0.00383325946771182,0.0020624373853995,0.00201939056241053,"sauropsida","#1F78B4"
"Arctocephalus_forsteri","bioprj_PRJNA419445_Arctocephalus-forsteri",-43.9072083333333,-52.7,-40.88,38.4100531527316,-57.4944,-16.816413,24,12,5,7,24,6,12,2,5,2,7,1,3694,9694,1554,3488.31322937198,9325.94267097479,1315.85598471557,0.420682187330807,0.377218414228377,0.16030534351145,0.141096297837099,200,NA,0,1,0,0,0,0,255,1480114.56862745,85,13.1,3,3,"nis1lessthanM",0.99849093194324,0.00249560338280345,1.57184887415205e-06,1052.45285576545,0.00905334636198144,"littlem_3_bigm_3_n2_nis1lessthanM",0.00251701151853336,0.00150574313909751,0.00156103825614346,"mammals","#B2DF8A"
