"run_name","n_samples","mean_raw_read_cnt","read_type","read_length","name_of_adapter_removed","mean_locus_depth","littlem","bigm","n","mean_depth_snp_filtered","n.totalsnps"
"bioprj_PRJDB7819_Fibramia-amboinensis",98,1233300.25510204,"PAIRED",90,">MERGED-Nextera_Transposase-GROUP",14.4,"3","3","nis1morethanM",9.93738334637174,64611
"bioprj_PRJDB7819_Lutjanus-fulvus",59,1189119.49152542,"PAIRED",90,">MERGED-Nextera_Transposase-GROUP",13.6,"3","3","nis1morethanM",9.5575426874986,124632
"bioprj_PRJDB7819_Zenarchopterus-dunckeri",100,1140179.68,"PAIRED",100,">MERGED-Nextera_Transposase-GROUP",18,"3","9","nis1morethanM",10.8381963781571,97313
"bioprj_PRJNA253681_Scomber-scombrus",10,21395876.1,"PAIRED",101,"none",25.6,"3","3","nequalM",30.3636886558905,6876
"bioprj_PRJNA280898_Lagenorhynchus-acutus",38,2814897.47368421,"SINGLE",76,"none",90.5,"3","6","nis1morethanM",75.0014848860062,4683
"bioprj_PRJNA281764_Homarus-americanus",203,3054113.96551724,"SINGLE",80,"none",76.5,"3","3","nequalM",47.7610571164854,132677
"bioprj_PRJNA286089_Sphyrna-tiburo",126,2130470.53968254,"SINGLE AND PAIRED",95,"none",25.2,"3","3","nis1lessthanM",16.283204913366,93361
"bioprj_PRJNA286949_Chlorostoma-funebralis",87,1878422.16091954,"PAIRED",90,"none",34.2,"3","3","nis1morethanM",26.9073419062502,350465
"bioprj_PRJNA294760_Amphiprion-bicinctus",103,911212.203883495,"SINGLE",81,"none",15.6,"3","3","nis1lessthanM",11.3218511264134,81069
"bioprj_PRJNA299372_Aythya-marila",64,410879.03125,"SINGLE",145,"none",128.5,"3","9","nis1morethanM",99.3657477498063,9000
"bioprj_PRJNA311981_Engraulis-encrasicolus",128,4505141.8828125,"SINGLE",95,"none",88.3,"3","3","nis1morethanM",66.8151312155055,341062
"bioprj_PRJNA316872_Sebastes-rastrelliger",117,3944116.82051282,"PAIRED",95,"none",68.2,"3","3","nis1morethanM",53.0585896671576,53976
"bioprj_PRJNA319656_Seriola-lalandi-dorsalis",89,5044776.12359551,"PAIRED",100,"none",52.2,"3","3","nequalM",40.8692298753136,1009
"bioprj_PRJNA329407_Lutjanus-campechanus",215,1056614.70697674,"PAIRED",95,"none",37.6,"3","3","nis1lessthanM",24.6871241384586,80383
"bioprj_PRJNA340157_Callinectes-sapidus",30,2928053.93333333,"SINGLE",75,">Adapter1",51.8,"3","6","nis1morethanM",39.5577079173365,142435
"bioprj_PRJNA343012_Aptenodytes-patagonicus",63,7152760.66666667,"PAIRED",114,"none",77.4,"3","3","nis1lessthanM",72.6804695550994,200050
"bioprj_PRJNA343959_Phocoena-phocoena",44,2427331.09090909,"PAIRED",90,"none",10.4,"3","3","nis1morethanM",10.8615800117311,159649
"bioprj_PRJNA348572_Zalophus-wollebaeki",94,585394.127659575,"PAIRED",119,"none",30.4,"3","9","nis1morethanM",19.6914800044734,13007
"bioprj_PRJNA354496_Symphodus-melops",65,23783276.3538462,"PAIRED",126,"none",19.4,"3","3","nis1morethanM",13.9292954690595,5974
"bioprj_PRJNA356786_Lateolabrax-maculatus",221,2126222.50226244,"PAIRED",120,"none",59.9,"3","3","nis1morethanM",45.5941309361413,127813
"bioprj_PRJNA359404_Sebastiscus-marmoratus",58,1772435.72413793,"PAIRED",144,"none",7.7,"3","6","nis1morethanM",6.797346333704,550348
"bioprj_PRJNA360511_Trachidermus-fasciatus",25,5074280.16,"PAIRED",125,"none",13.3,"3","3","nequalM",11.9508330465911,3988
"bioprj_PRJNA361144_Agaricia-fragilis",104,1144628.32692308,"SINGLE",90,">MERGED-Nextera_Transposase-GROUP",35,"3","9","nis1morethanM",13.3170234281279,30957
"bioprj_PRJNA361144_Stephanocoenia-intersepta",103,1345276.9223301,"SINGLE",101,"none",22.9,"3","3","nis1morethanM",13.8236696195689,86967
"bioprj_PRJNA369717_Nautilus-pompilius",51,1948913.17647059,"PAIRED",145,"none",211.4,"3","3","nis1morethanM",138.902819293303,9803
"bioprj_PRJNA371502_Acanthurus-olivaceus",51,1898982.49019608,"SINGLE",95,"none",14.5,"3","3","nis1morethanM",13.3272528221257,374520
"bioprj_PRJNA373825_Paracentrotus-lividus",273,3842486.87545788,"SINGLE",35,">MERGED-Reverse_adapter-1-Reverse_adapter-2",41,"3","3","nequalM",29.2586847244575,330575
"bioprj_PRJNA379028_Porites-astreoides",17,2364584.82352941,"PAIRED",95,"none",32.1,"3","9","nequalM",45.6327418082634,44765
"bioprj_PRJNA382467_Platichthys-flesus",282,847543.184397163,"SINGLE",60,">Unknown_from_prjna382467",34.1,"3","3","nis1morethanM",25.0523452111074,65105
"bioprj_PRJNA385011_Siphamia-tubifer",280,1753706.45,"SINGLE",90,"none",29,"3","3","nequalM",15.0547741079295,200803
"bioprj_PRJNA385083_Agaricia-undata",42,4388906.04761905,"SINGLE",140,">MERGED-Nextera_Transposase-GROUP",56.2,"3","3","nis1morethanM",26.0794964786731,88752
"bioprj_PRJNA394157_Exaiptasia-diaphana",113,1192575.18584071,"PAIRED",38,"none",52,"3","3","nis1morethanM",20.1774410353555,3952
"bioprj_PRJNA419445_Arctocephalus-forsteri",237,1544725.83966245,"SINGLE",85,">Adapter1",13.1,"3","3","nis1lessthanM",12.845803560046,126900
"bioprj_PRJNA420851_Ectopleura-larynx",116,1561338.76724138,"SINGLE",83,"none",92.5,"3","3","nis1morethanM",21.0192373296647,16879
"bioprj_PRJNA430030_Coryphaenoides-rupestris",89,7728006.62921348,"PAIRED",90,">Unknown_from_prjna430030",72.6,"3","3","nis1morethanM",47.346882988522,235712
"bioprj_PRJNA432036_Thunnus-thynnus",271,1026050.85239852,"PAIRED",85,">Adapter1",7.8,"3","3","nequalM",7.23152511630844,10057
"bioprj_PRJNA445895_Pisaster-ochraceus",366,747847.75136612,"PAIRED",145,"none",45.9,"3","3","nis1morethanM",21.5687021967082,69364
"bioprj_PRJNA448430_Stegastes-beebei",8,821790.5,"SINGLE",80,"none",18.6,"3","6","nequalM",21.3280977486304,52055
"bioprj_PRJNA448430_Stegastes-leucorus",14,683534.214285714,"SINGLE",80,"none",12.8,"3","9","nis1morethanM",13.6676038908418,110596
"bioprj_PRJNA448438_Holacanthus-passer",30,1611652.66666667,"SINGLE",80,"none",35,"3","9","nis1morethanM",33.4847420851975,63930
"bioprj_PRJNA449377_Zebrasoma-flavescens",17,685523.588235294,"SINGLE",80,"none",11.6,"3","9","nis1morethanM",12.1850503270114,132183
"bioprj_PRJNA449377_Zebrasoma-scopas",96,704903.697916667,"SINGLE",80,"none",14.2,"3","6","nis1morethanM",13.8587686988964,266883
"bioprj_PRJNA450328_Halichoerus-grypus-atlantica",250,2506637.92,"SINGLE",45,"none",30.2,"3","3","nis1morethanM",20.6078787116997,34942
"bioprj_PRJNA450871_Pocillopora-damicornis",92,3431798.22826087,"SINGLE",91,"none",228.5,"3","3","nis1morethanM",91.9822681031459,15122
"bioprj_PRJNA451040_Sebastes-paucispinis",21,1078072.95238095,"SINGLE",75,"none",22.4,"3","3","nequalM",24.0138737888688,18057
"bioprj_PRJNA451040_Sebastes-pinniger",92,1355142.41304348,"SINGLE",75,"none",27.6,"3","3","nequalM",27.5932716460394,42244
"bioprj_PRJNA451040_Sebastes-ruberrimus",151,1753016.06622517,"SINGLE",75,"none",34.4,"3","3","nis1morethanM",34.7136389770009,31765
"bioprj_PRJNA471559_Planes-minutus",103,1065985.19417476,"SINGLE",90,">TruSeq2_SE",8.6,"3","3","nequalM",8.11264395942873,262761
"bioprj_PRJNA473816_Acropora-cervicornis",21,14019703.2380952,"PAIRED",150,"none",29.4,"3","3","nis1lessthanM",35.030940709827,2016
"bioprj_PRJNA473816_Acropora-palmata",26,13193998,"PAIRED",150,"none",28.9,"3","3","nequalM",33.4696575924743,1546
"bioprj_PRJNA473816_Acropora-prolifera",13,13578194.9230769,"PAIRED",150,"none",24.5,"3","3","nis1morethanM",35.272692757338,1885
"bioprj_PRJNA477007_Paralichthys-dentatus",229,383225.982532751,"SINGLE",130,"none",38.6,"3","3","nis1morethanM",25.590408068942,108009
"bioprj_PRJNA480308_Rhizophora-mangle",117,4116949.32478632,"SINGLE",80,"none",58,"3","3","nequalM",37.6175269001639,48952
"bioprj_PRJNA480409_Laguncularia-racemosa",43,1758946,"SINGLE",86,"none",15.8,"3","3","nis1lessthanM",16.4697356165875,62862
"bioprj_PRJNA493660_Pygoscelis-adeliae",87,4442195.5862069,"PAIRED",114,"none",46.5,"3","3","nequalM",41.3256548822954,449567
"bioprj_PRJNA493660_Pygoscelis-antarcticus",44,4291300.36363636,"PAIRED",114,"none",45.8,"3","3","nis1lessthanM",41.7517319187317,133858
"bioprj_PRJNA493660_Pygoscelis-papua",69,5203958.57971014,"PAIRED",114,"none",55.5,"3","3","nis1lessthanM",49.2146713970299,85634
"bioprj_PRJNA508589_Orbicella-faveolata",191,1167659.89528796,"SINGLE",36,"none",13.1,"3","3","nis1lessthanM",12.3640589490302,135106
"bioprj_PRJNA508986_Ctenolabrus-rupestris",60,30068723.6333333,"PAIRED",151,"none",11.6,"3","3","nis1lessthanM",6.59518465147174,2558
"bioprj_PRJNA511386_Ostrea-lurida",207,3326159.44444444,"SINGLE AND PAIRED",92,"none",17.3,"3","3","nis1morethanM",16.0819678164707,444312
"bioprj_PRJNA521302_Leptopsammia-pruvoti",212,2081059.34433962,"SINGLE",35,">MERGED-Reverse_adapter-1-Reverse_adapter-2",46.3,"3","3","nis1lessthanM",30.6239416109344,31074
"bioprj_PRJNA523574_Eudyptes-chrysolophus",67,1793511.89552239,"SINGLE",91,"none",101.2,"3","3","nis1morethanM",84.1802455348004,36706
"bioprj_PRJNA528403_Gadus-morhua",235,3018475.09787234,"SINGLE",110,"none",45.3,"3","3","nequalM",29.296329643211,287494
"bioprj_PRJNA533707_Larimichthys-polyactis",80,8622480.8375,"PAIRED",150,"none",14,"3","3","nis1lessthanM",11.0042100534086,3877
"bioprj_PRJNA542967_Bartholomea-annulata",121,1283737.02479339,"SINGLE",90,">MERGED-Reverse_adapter-1-Reverse_adapter-2",46.9,"3","3","nis1morethanM",44.568457517858,72100
"bioprj_PRJNA544861_Montipora-capitata",47,1726907.65957447,"SINGLE",150,">MERGED-Nextera_Transposase-GROUP",17.5,"3","3","nis1morethanM",11.2886516613088,77455
"bioprj_PRJNA544861_Porites-compressa",47,1825981.06382979,"SINGLE",150,">MERGED-Nextera_Transposase-GROUP",22.9,"3","3","nis1morethanM",13.7123601693814,64075
