"species","run_name","fst.global.wc","mean.rowwisefst","sd.rowwisefst","mean.1toallfst","sd.1toallfst","mean.pwp","sd.pwp"
"Fibramia-amboinensis","bioprj_PRJDB7819_Fibramia-amboinensis","0.000164865801472191","0.00104321160993974","0.00205520021051593",0.000129622225614503,0.00182632691675674,0.00184730496299157,8.62883360800778e-07
"Lutjanus-fulvus","bioprj_PRJDB7819_Lutjanus-fulvus","0.000575563065387025","0.000423644130528654","0.000556500468962855",0.000402487884127028,0.000359578172721326,0.00374668804683929,3.02136209826386e-06
"Zenarchopterus-dunckeri","bioprj_PRJDB7819_Zenarchopterus-dunckeri","0.0509433127801995","0.0714230848537312","0.0639942487201508",0.0292450397043788,0.054618264461098,0.00667293549842383,0
"Scomber-scombrus","bioprj_PRJNA253681_Scomber-scombrus","0.00217023222842305","-0.00919268670236915","0.0138531699774176",0.000119737706529901,0.0212061693273929,0.00147377100646419,1.65067564749609e-05
"Lagenorhynchus-acutus","bioprj_PRJNA280898_Lagenorhynchus-acutus","-0.00789180909612829","-0.00375178546565491","0.0141394039551627",-0.00502826125954924,0.0388831572813225,0.0249716850812181,0.000104420620319002
"Homarus-americanus","bioprj_PRJNA281764_Homarus-americanus","-3.3918400316544e-05","0.000267024516523753","0.00118167537843293",-4.22038160672294e-06,0.00178938358364691,0.00395793909043903,2.15439046394952e-06
"Sphyrna-tiburo","bioprj_PRJNA286089_Sphyrna-tiburo","0.020159178118294","0.0251199528794375","0.00648930285934102",0.0138403373874398,0.00732818128282293,0.00230103476805244,2.22320626503373e-06
"Chlorostoma-funebralis","bioprj_PRJNA286949_Chlorostoma-funebralis","0.00536230497805053","0.0051041162522479","0.00162340555524769",0.00315623560384435,0.00160907809459555,0.00790924318372932,7.89355380041024e-07
"Amphiprion-bicinctus","bioprj_PRJNA294760_Amphiprion-bicinctus","0.0392600259381221","0.0432070635568107","0.03182644639792",0.0212386925593413,0.0338517314330433,0.00272639573485076,1.49528506107555e-06
"Aythya-marila","bioprj_PRJNA299372_Aythya-marila","0.0261967562341582","0.0102028769285701","0.0137687159255307",0.00739773293166418,0.0204668696447753,0.00334021826020995,8.3337378938608e-06
"Engraulis-encrasicolus","bioprj_PRJNA311981_Engraulis-encrasicolus","0.0415604365031617","0.0480005234740993","0.0161522685328304",0.0276766884793591,0.0222192252418996,0.00864667693617056,1.04698815909284e-05
"Sebastes-rastrelliger","bioprj_PRJNA316872_Sebastes-rastrelliger","0.00164534702065284","-0.00664174319714661","0.0157746657420682",-0.0030829586154746,0.00908773741437439,0.00118505423760591,4.57131560022708e-06
"Seriola-lalandi-dorsalis","bioprj_PRJNA319656_Seriola-lalandi-dorsalis","0.0238879453348254","0.0224034441340206","0.00433442715710814",0.016220885551124,0.00535926523118648,0.00312389846092669,5.79711518210275e-09
"Lutjanus-campechanus","bioprj_PRJNA329407_Lutjanus-campechanus","0.0078097472263527","0.00982958888792061","0.0149423058698273",0.00234269524892274,0.00970482676035158,0.00378631909279054,1.01411383993883e-06
"Callinectes-sapidus","bioprj_PRJNA340157_Callinectes-sapidus","0.0762401404134008","0.0828455324462327","0.108012490990698",0.0794313317277415,0.100607534755158,0.00734990712883672,3.66039367387317e-05
"Aptenodytes-patagonicus","bioprj_PRJNA343012_Aptenodytes-patagonicus","0.0026234043796707","0.00253063790894882","0.000376464741936877",0.00160366775458366,0.000587049920358026,0.00206251882887378,1.88224766663539e-07
"Phocoena-phocoena","bioprj_PRJNA343959_Phocoena-phocoena","0.0312646449597298","0.00144140207707051","0.00319234568589633",0.000464414217795447,0.0195166618987565,0.00131100102938439,1.21330246426899e-06
"Zalophus-wollebaeki","bioprj_PRJNA348572_Zalophus-wollebaeki","0.00924147648029725","0.0106829134062642","0.0028024734175079",0.00570314964808473,0.00413878052998657,0.000359024217003248,8.07638374031749e-07
"Symphodus-melops","bioprj_PRJNA354496_Symphodus-melops","0.022003616864738","0.0149979776012519","0.0058135176259082",0.00855020128930766,0.0128445799370163,0.00079779164267315,2.50092246818875e-07
"Lateolabrax-maculatus","bioprj_PRJNA356786_Lateolabrax-maculatus","0.0189677761740456","0.0174665091693435","0.00701082115831745",0.00904793822024446,0.00675572763408411,0.00303223599387992,2.49731941062495e-06
"Sebastiscus-marmoratus","bioprj_PRJNA359404_Sebastiscus-marmoratus","0.00878233837643862","0.00646478138168548","0.00465328658407362",0.00675049885089866,0.00177537854577579,0.00385692970667958,7.22334098118754e-06
