"species","run_name","s","nugget","m","nbhd","inDeme","stacksparams"
"Fibramia amboinensis","bioprj_PRJDB7819_Fibramia-amboinensis",0.998142175758755,0.00184618056863709,1.7432975143998e-09,879.847917815503,0.00677533718449389,"littlem_3_bigm_3_n4_nis1morethanM"
"Lutjanus fulvus","bioprj_PRJDB7819_Lutjanus-fulvus",0.996226434514185,0.00374861019140953,2.37361153056816e-08,938.071342548263,0.00677751548352975,"littlem_3_bigm_3_n4_nis1morethanM"
"Zenarchopterus dunckeri","bioprj_PRJDB7819_Zenarchopterus-dunckeri",0.99267568431534,0.00691170237289889,0.0476117041762769,1281.26480358925,0.0570813488507856,"littlem_3_bigm_9_n10_nis1morethanM"
"Scomber scombrus","bioprj_PRJNA253681_Scomber-scombrus",0.99852418908011,0.00144982101970044,0.0109214593673906,838.523720966361,0.0185808350822877,"littlem_3_bigm_3_n3_nequalM"
"Lagenorhynchus acutus","bioprj_PRJNA280898_Lagenorhynchus-acutus",0.974924845532905,0.0736793139786902,0.0110744362918368,822.111060304504,0.0344754873238155,"littlem_3_bigm_6_n7_nis1morethanM"
"Homarus americanus","bioprj_PRJNA281764_Homarus-americanus",0.996014467669867,0.00396163577971769,1.50983405823101e-10,1056.08392174391,0.00676586811235167,"littlem_3_bigm_3_n3_nequalM"
"Sphyrna tiburo","bioprj_PRJNA286089_Sphyrna-tiburo",0.997694755949485,0.00529323990098653,0.000109302645718512,2.35337611406288,0.00683888022464199,"littlem_3_bigm_3_n2_nis1lessthanM"
"Chlorostoma funebralis","bioprj_PRJNA286949_Chlorostoma-funebralis",0.992047473560969,0.0148983731177423,5.03734540008895e-05,326.71618778273,0.00679903836116661,"littlem_3_bigm_3_n4_nis1morethanM"
"Amphiprion bicinctus","bioprj_PRJNA294760_Amphiprion-bicinctus",0.997039017436186,0.00363509686516122,1.41765766698824e-09,52.1640242680659,0.105832612453229,"littlem_3_bigm_3_n2_nis1lessthanM"
"Aythya marila","bioprj_PRJNA299372_Aythya-marila",0.996657000961592,0.00329733353810205,0.0105867770565936,954.355833071854,0.0147170235071278,"littlem_3_bigm_9_n10_nis1morethanM"
"Engraulis encrasicolus","bioprj_PRJNA311981_Engraulis-encrasicolus",0.991250931089189,0.00838449406660931,0.0278136603891302,1118.2814702756,0.0442478503093105,"littlem_3_bigm_3_n4_nis1morethanM"
"Sebastes rastrelliger","bioprj_PRJNA316872_Sebastes-rastrelliger",0.999050198685076,0.00118002261876168,0.0111567023163538,828.617556086602,0.00674964901071206,"littlem_3_bigm_3_n4_nis1morethanM"
"Seriola lalandi dorsalis","bioprj_PRJNA319656_Seriola-lalandi-dorsalis",0.996934539100611,0.00706571544828032,0.0116140210118677,817.573066638377,0.0186494904200653,"littlem_3_bigm_3_n3_nequalM"
"Lutjanus campechanus","bioprj_PRJNA329407_Lutjanus-campechanus",0.99620788920925,0.0137709579314567,0.0301056442930932,254.344781518965,0.00678842332823292,"littlem_3_bigm_3_n2_nis1lessthanM"
"Callinectes sapidus","bioprj_PRJNA340157_Callinectes-sapidus",0.992381495184173,0.00721375284399536,0.0111323033599129,858.521715079721,0.0510209762323159,"littlem_3_bigm_6_n7_nis1morethanM"
"Aptenodytes patagonicus","bioprj_PRJNA343012_Aptenodytes-patagonicus",0.997932873857591,0.00205461993534565,0.0115387615436608,823.208642622103,0.00674616713218688,"littlem_3_bigm_3_n2_nis1lessthanM"
"Phocoena phocoena","bioprj_PRJNA343959_Phocoena-phocoena",0.998581326583029,0.00127380359121648,1.70833293600605e-10,54.7772619153295,0.112111308858626,"littlem_3_bigm_3_n4_nis1morethanM"
"Zalophus wollebaeki","bioprj_PRJNA348572_Zalophus-wollebaeki",0.999663078607522,0.000325136952044844,2.80038101964397e-06,151.119672490126,0.0365467951373297,"littlem_3_bigm_9_n10_nis1morethanM"
"Lateolabrax maculatus","bioprj_PRJNA356786_Lateolabrax-maculatus",0.996897804349405,0.00700760177802573,1.87052726058017e-08,104.197661363451,0.0293356697892811,"littlem_3_bigm_3_n4_nis1morethanM"
"Sebastiscus marmoratus","bioprj_PRJNA359404_Sebastiscus-marmoratus",0.996135600348679,0.00386760870893386,0.00680861354412541,537.581710176473,0.00675200618752237,"littlem_3_bigm_6_n7_nis1morethanM"
"Agaricia fragilis","bioprj_PRJNA361144_Agaricia-fragilis",0.997431955598642,0.00248745566670088,0.000103574554830096,102.84692947919,0.0303231074272552,"littlem_3_bigm_9_n10_nis1morethanM"
"Stephanocoenia intersepta","bioprj_PRJNA361144_Stephanocoenia-intersepta",0.991612955910501,0.00770173336440966,4.66189921534328e-08,99.8121386245996,0.0611420889548904,"littlem_3_bigm_3_n4_nis1morethanM"
