"species","run_name","stacksparams","s.wish","nugget","m.wish","nbhd.wish","inDeme.wish","s.cmpl","m.cmpl","nbhd.cmpl","inDeme.cmpl"
"Acanthurus olivaceus","bioprj_PRJNA371502_Acanthurus-olivaceus","littlem_3_bigm_3_n4_nis1morethanM",NA,NA,NA,NA,NA,0.999750545282679,0.045013237900135,80.5418268446186,0.945747069715056
"Agaricia fragilis","bioprj_PRJNA361144_Agaricia-fragilis","littlem_3_bigm_9_n10_nis1morethanM",0.997422059574213,0.997422059574213,5.79454873807709e-05,96.0171414448517,0.0364668703894629,0.998806105146375,0.133717420711476,96.6323296771612,0.992078890690313
"Agaricia undata","bioprj_PRJNA385083_Agaricia-undata","littlem_3_bigm_3_n4_nis1morethanM",0.996670825295815,0.996670825295815,2.70503982840102e-05,81.013205624131,0.0423597600702329,0.996675192124672,0.12153405332903,33.6045633573236,0.707138580276686
"Amphiprion bicinctus","bioprj_PRJNA294760_Amphiprion-bicinctus","littlem_3_bigm_3_n2_nis1lessthanM",0.99694600755737,0.99694600755737,6.27405709953644e-11,55.9694125495937,0.132410591825964,0.999854895631056,0.0583604437188192,81.0744164008611,0.999999999993237
"Bartholomea annulata","bioprj_PRJNA542967_Bartholomea-annulata","littlem_3_bigm_3_n4_nis1morethanM",NA,NA,NA,NA,NA,0.999710827351849,0.0989840281654543,147.322271238331,0.999999999999802
"Callinectes sapidus","bioprj_PRJNA340157_Callinectes-sapidus","littlem_3_bigm_6_n7_nis1morethanM",0.992390004478583,0.992390004478583,0.076679020063238,13.0368910493492,0.0487621097835854,0.992455322356239,0.0699763247520687,73.9273912864144,0.694168754692221
"Chlorostoma funebralis","bioprj_PRJNA286949_Chlorostoma-funebralis","littlem_3_bigm_3_n4_nis1morethanM",NA,NA,NA,NA,NA,0.999798025468691,0.124720640925797,33.8237449568817,0.999974417801113
"Cranchia scabra","bioprj_PRJNA573759_Cranchia-scabra","littlem_3_bigm_6_n7_nis1morethanM",NA,NA,NA,NA,NA,0.996115576107782,0.0185479398749386,33.3653469353074,0.999999122149133
"Dascyllus trimaculatus","bioprj_PRJNA473382_Dascyllus-trimaculatus","littlem_3_bigm_3_n4_nis1morethanM",NA,NA,NA,NA,NA,0.999863363230991,0.0775629127729048,93.9203253936291,0.999999975222562
"Ectopleura larynx","bioprj_PRJNA420851_Ectopleura-larynx","littlem_3_bigm_3_n4_nis1morethanM",NA,NA,NA,NA,NA,0.995137891425869,0.156829040095708,120.339252997207,0.999999982469835
"Engraulis encrasicolus","bioprj_PRJNA311981_Engraulis-encrasicolus","littlem_3_bigm_3_n4_nis1morethanM",0.991250665111351,0.991250665111351,0.110770200195039,13.3718433783442,0.0443297675688019,0.999877466079523,0.0608250275603411,122.709007993337,0.757925392836798
