species,sampid
Anguilla anguilla,gbif9692
Mallotus villosus,gbif1776
Delphinapterus leucas,gbif6850
Delphinapterus leucas,gbif7243
Gasterosteus aculeatus,gbif1457
Gasterosteus aculeatus,gbif1458
Gasterosteus aculeatus,gbif1459
Gasterosteus aculeatus,gbif1468
Chlorostoma funebralis,gbif3059
Chlorostoma funebralis,gbif3061
Idotea baltica,gbif3026
Idotea baltica,gbif392
Galaxias maculatus,gbif3500
Galaxias maculatus,gbif3782
Galaxias maculatus,gbif3913
Apostichopus californicus,gbif1955
Apostichopus californicus,gbif1978
Uria aalge,gbif8320
Poecilia latipinna,gbif3867
Poecilia latipinna,gbif4368
Poecilia latipinna,gbif4967
Poecilia latipinna,gbif415
Poecilia latipinna,gbif4285
Poecilia latipinna,gbif4286
Poecilia latipinna,gbif4287
Poecilia latipinna,gbif4288
Poecilia latipinna,gbif4289
Poecilia latipinna,gbif4290
Poecilia latipinna,gbif4291
Poecilia latipinna,gbif4292
Poecilia latipinna,gbif4293
Poecilia latipinna,gbif4294
Poecilia latipinna,gbif4295
Poecilia latipinna,gbif4296
Poecilia latipinna,gbif4297
Poecilia latipinna,gbif4298
Poecilia latipinna,gbif4299
Poecilia latipinna,gbif4300
Poecilia latipinna,gbif4301
Poecilia latipinna,gbif4302
Poecilia latipinna,gbif4303
Poecilia latipinna,gbif4304
Poecilia latipinna,gbif4305
Poecilia latipinna,gbif4306
Poecilia latipinna,gbif4307
Poecilia latipinna,gbif4308
Poecilia latipinna,gbif4309
Poecilia latipinna,gbif4310
Poecilia latipinna,gbif4311
Poecilia latipinna,gbif4312
Poecilia latipinna,gbif4313
Poecilia latipinna,gbif4314
Poecilia latipinna,gbif4315
Poecilia latipinna,gbif4316
Poecilia latipinna,gbif4317
Poecilia latipinna,gbif4318
Poecilia latipinna,gbif4319
Poecilia latipinna,gbif4320
Poecilia latipinna,gbif4321
Poecilia latipinna,gbif4322
Poecilia latipinna,gbif4323
Poecilia latipinna,gbif4324
Poecilia latipinna,gbif4325
Poecilia latipinna,gbif4326
Poecilia latipinna,gbif4327
Poecilia latipinna,gbif4328
